error_std,probe_budget,policy,gain_margin,power_margin,risk_weight,risk_power_weight,risk_invite_threshold,episodes,num_seeds,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,scheduled_nodes_mean,failed_nodes_mean,true_opportunities_mean,missed_opportunities_mean,false_positive_rate,execution_failure_rate,failure_slot_rate,missed_opportunity_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,effective_risk_weight_mean,avg_reward
0.05,8,Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.9944,0.0013293366766921235,0.999888,99.46000000000001,2.9546,0.03674464227611969,0.3759437955912576,15.994099958740787,0.04948313054847858,50.5916,0.5972,50.3774,0.383,1.1804331153788377,1.1804331153788377,17.09199214783727,0.7602615458519097,8.0,0.45793476190476196,0.5,99.43177599565033
0.05,8,Adaptive Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.9944,0.0014667296956143861,0.999888,99.46000000000001,2.954,0.04640276715886671,0.37433649489358206,15.96153848138419,0.0468400704985962,50.5892,0.5948,50.3588,0.3644,1.17574502067635,1.17574502067635,16.932972241029113,0.7236073933453537,8.0,0.46149547619047615,0.549463153282173,99.43533829886913
0.1,0,Estimated No IRS,1.0,1.0,0.0,0.0,0.0,5000,5,38.9412,0.0706291105989589,0.7788240000000001,0.0,10.0,0.0,0.7647883923330632,22.543847678855496,0.0942718308551006,50.3208,11.3796,40.3926,1.4514,22.61410788381743,22.61410788381743,68.42,3.5932324237607878,0.0,8.14316,0.0,9.58830440067268
0.1,1,Estimated Fixed IRS,1.0,1.0,0.0,0.0,0.0,5000,5,40.9552,0.07285138340484734,0.8191039999999999,0.0,10.0,0.0,0.7437027180234173,20.89610386690101,0.07596748419182234,51.5416,10.5864,42.3096,1.3544,20.539525354276932,20.539525354276932,66.11,3.201164747480477,1.0,7.3354,0.0,34.63451716199972
0.1,16,Exact Greedy Full CSI,1.0,1.0,0.0,0.0,0.0,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5496,0.01104577819802654,0.3638608581979463,15.977935100125729,0.053604404292855054,49.9946,0.0,49.9946,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,99.52804357132192
0.1,16,Estimated Greedy Full Preview,1.0,1.0,0.0,0.0,0.0,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.8436,0.018734155331906425,0.3624323903664607,16.664772368455992,0.040645785018876,51.7524,1.7578,50.5646,0.57,3.3965574543402823,3.3965574543402823,39.87902658601772,1.1272708574773656,16.0,0.31364642857142855,0.0,99.46176061041191
0.1,1,Estimated Random Probe,1.0,1.0,0.0,0.0,0.0,5000,5,49.8024,0.005964328629443747,0.9960479999999999,82.94,6.427,0.0571836508103497,0.46347657891386806,17.47552469361055,0.06904586884079013,51.9252,2.1228,51.4696,1.6672,4.088188394074553,4.088188394074553,24.74871635288626,3.239193621088954,1.0,1.8133885714285716,0.0,98.3728987311296
0.1,1,Estimated Rotating Grid,1.0,1.0,0.0,0.0,0.0,5000,5,49.9422,0.0043120000000000155,0.998844,94.52000000000001,5.6416,0.02831911750037416,0.44536502581697507,17.3123515030785,0.027768723599112533,51.805,1.8628,51.5588,1.6166,3.5957919119776083,3.5957919119776083,24.23425978445831,3.135449234660233,1.0,1.7012549206349206,0.0,98.82268360016495
0.1,1,Robust Rotating Grid,1.25,0.9,0.0,0.0,0.0,5000,5,49.9178,0.008208633503817784,0.998356,92.28,5.9788,0.032154754298548256,0.421512307030023,16.258155759010226,0.025151449795491176,51.1428,1.225,52.4902,2.5724,2.3952540729095784,2.3952540729095784,16.79935773064829,4.900724325683652,1.0,1.6890140476190478,0.0,98.792254339841
0.1,1,Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.9372,0.0031237259802993442,0.998744,94.12,5.6798,0.036062934766876616,0.445562912858982,17.294046332575956,0.02423535078224546,51.8002,1.863,51.5828,1.6456,3.596511210381427,3.596511210381427,24.342406422761364,3.1902106903851672,1.0,1.7006511904761905,0.5,98.80603832376882
