config_id,sweep,sweep_value,num_nodes,num_slots,num_irs_elements,num_codebook_states,policy,episodes,success_mean,success_rate_mean,success_std,perfect_rate,slots_mean,slot_fraction_mean,avg_power_mean,total_energy_mean,decision_preview_calls_mean,decision_preview_calls_per_slot_mean,tie_candidates_mean,episode_reward_mean,slot1_tx_mean,slot2_total_mean
M32,M,32,50,10,32,16,No IRS,300,39.00333333333333,0.7800666666666667,3.1085884613795733,0.0,10.0,1.0,0.3350399850956417,13.078426190081155,0.0,0.0,0.0,12.144145936610707,39.00333333333333,39.00333333333333
M64,M,64,50,10,64,16,Feature Argmax IRS,300,49.99333333333333,0.9998666666666668,0.08137703743822469,99.33333333333333,2.5533333333333332,0.2553333333333333,0.4296967821578835,16.695423963065437,0.0,0.0,2.6958333333333333,99.03460713344087,44.9,49.39
M64,M,64,50,10,64,16,Feature Argmax PowerTie IRS,300,49.99333333333333,0.9998666666666668,0.08137703743822469,99.33333333333333,2.5366666666666666,0.25366666666666676,0.371585538358261,16.071403338792265,6.6,2.226611111111111,2.6783333333333332,99.11887956413688,44.9,49.38666666666666
M64,M,64,50,10,64,16,Greedy IRS,300,49.99333333333333,0.9998666666666668,0.08137703743822469,99.33333333333333,2.5366666666666666,0.25366666666666676,0.371585538358261,16.071403338792265,40.586666666666666,16.0,16.0,99.11887956413688,44.9,49.38666666666666
M64,M,64,50,10,64,16,Random IRS,300,49.97,0.9994000000000002,0.17058722109231983,97.0,5.05,0.505,0.4441601161626058,16.594937662199875,0.0,0.0,0.0,98.62219585738494,41.27,46.75
M64,M,64,50,10,64,16,No IRS,300,39.06,0.7812,3.113904301676595,0.0,10.0,1.0,0.3336747252086255,13.033801091875628,0.0,0.0,0.0,12.863162039759782,39.06,39.06
M128,M,128,50,10,128,16,Feature Argmax IRS,300,49.99666666666667,0.9999333333333333,0.057638721552635275,99.66666666666667,2.6,0.26,0.42643333524838206,16.51185149718486,0.0,0.0,2.883888888888889,99.03400938147092,44.67333333333333,49.28666666666667
M128,M,128,50,10,128,16,Feature Argmax PowerTie IRS,300,49.99666666666667,0.9999333333333333,0.057638721552635275,99.66666666666667,2.59,0.259,0.35787505220406063,15.859706877350716,7.06,2.4360000000000004,2.846944444444444,99.1318226395587,44.67333333333333,49.28333333333333
M128,M,128,50,10,128,16,Greedy IRS,300,49.99666666666667,0.9999333333333333,0.057638721552635275,99.66666666666667,2.59,0.259,0.35787505220406063,15.859706877350716,41.44,16.0,16.0,99.1318226395587,44.67333333333333,49.28333333333333
M128,M,128,50,10,128,16,Random IRS,300,49.97,0.9994000000000002,0.17058722109231983,97.0,5.253333333333333,0.5253333333333333,0.4463296027702698,16.570626470367927,0.0,0.0,0.0,98.59232638315785,40.873333333333335,46.53333333333333
M128,M,128,50,10,128,16,No IRS,300,38.75,0.775,3.0952921240705753,0.0,10.0,1.0,0.33604313156282595,13.032218023324118,0.0,0.0,0.0,8.860311150842529,38.75,38.75
C8,C,8,50,10,64,8,Feature Argmax IRS,300,49.82333333333333,0.9964666666666666,0.4458574759818309,85.0,3.91,0.39099999999999996,0.4180118063662669,16.35280983927653,0.0,0.0,2.5815555555555556,98.5240694993557,44.06,48.733333333333334
C8,C,8,50,10,64,8,Feature Argmax PowerTie IRS,300,49.82333333333333,0.9964666666666666,0.4458574759818309,85.0,3.9133333333333336,0.3913333333333333,0.38759481890314373,15.980467151148854,12.766666666666667,2.151666666666667,2.583111111111111,98.56980163013698,44.06,48.733333333333334
C8,C,8,50,10,64,8,Greedy IRS,300,49.82333333333333,0.9964666666666666,0.4458574759818309,85.0,3.9133333333333336,0.3913333333333333,0.38759481890314373,15.980467151148854,31.30666666666667,8.0,8.0,98.56980163013698,44.06,48.733333333333334
C8,C,8,50,10,64,8,Random IRS,300,49.94,0.9988000000000001,0.2764054992217051,94.66666666666667,5.426666666666667,0.5426666666666667,0.44419642855058195,16.564452977186484,0.0,0.0,0.0,98.52171707303836,40.833333333333336,46.46
C8,C,8,50,10,64,8,No IRS,300,38.82333333333333,0.7764666666666666,2.8140342728703374,0.0,10.0,1.0,0.3339515387244189,12.975227103939684,0.0,0.0,0.0,10.661356723148268,38.82333333333333,38.82333333333333
C16,C,16,50,10,64,16,Feature Argmax IRS,300,49.99333333333333,0.9998666666666668,0.0813770374382247,99.33333333333333,2.566666666666667,0.25666666666666665,0.42175679832480195,16.707028988223897,0.0,0.0,2.797,99.04144167297997,44.67666666666667,49.36333333333334
C16,C,16,50,10,64,16,Feature Argmax PowerTie IRS,300,49.99333333333333,0.9998666666666668,0.0813770374382247,99.33333333333333,2.5766666666666667,0.2576666666666667,0.3657486200440748,16.083704134677774,7.2,2.4297222222222223,2.8334444444444444,99.11894431119646,44.67666666666667,49.36
C16,C,16,50,10,64,16,Greedy IRS,300,49.99333333333333,0.9998666666666668,0.0813770374382247,99.33333333333333,2.5766666666666667,0.2576666666666667,0.3657486200440748,16.083704134677774,41.22666666666667,16.0,16.0,99.11894431119646,44.67666666666667,49.36
C16,C,16,50,10,64,16,Random IRS,300,49.95666666666666,0.9991333333333333,0.20360637405433937,95.66666666666667,5.19,0.519,0.4490480512389301,16.5736936617715,0.0,0.0,0.0,98.56221534076764,40.77,46.54333333333334
C16,C,16,50,10,64,16,No IRS,300,38.903333333333336,0.7780666666666667,2.8880193135703847,0.0,10.0,1.0,0.3380379480867585,13.152774492524316,0.0,0.0,0.0,11.499313519261825,38.903333333333336,38.903333333333336
C32,C,32,50,10,64,32,Feature Argmax IRS,300,50.0,1.0,0.0,100.0,2.2066666666666666,0.22066666666666662,0.40743798048485713,16.328745533929325,0.0,0.0,3.877777777777778,99.14436144442412,45.733333333333334,49.766666666666666
C32,C,32,50,10,64,32,Feature Argmax PowerTie IRS,300,50.0,1.0,0.0,100.0,2.203333333333333,0.22033333333333333,0.34392214679520045,15.716488705240996,8.1,3.4727777777777784,3.8786111111111117,99.22135265940737,45.733333333333334,49.776666666666664
C32,C,32,50,10,64,32,Greedy IRS,300,50.0,1.0,0.0,100.0,2.203333333333333,0.22033333333333333,0.34392214679520045,15.716488705240996,70.50666666666666,32.0,32.0,99.22135265940737,45.733333333333334,49.776666666666664
C32,C,32,50,10,64,32,Random IRS,300,49.95,0.9990000000000001,0.21794494717703367,95.0,5.173333333333333,0.5173333333333333,0.44858489142528885,16.57044235106079,0.0,0.0,0.0,98.55752060630248,40.86,46.62
C32,C,32,50,10,64,32,No IRS,300,39.21666666666667,0.7843333333333333,2.9091331278502115,0.0,10.0,1.0,0.3320319336623254,13.017252707709059,0.0,0.0,0.0,15.495649928948767,39.21666666666667,39.21666666666667
