config_id,sweep,sweep_value,num_nodes,num_slots,num_irs_elements,num_codebook_states,policy,slot,tx_mean_padded,total_tx_mean_padded,decision_preview_calls_mean_padded,tie_candidates_mean_padded
N15,N,15,50,15,64,16,Feature Argmax IRS,12,0.0,49.99666666666667,0.0,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax IRS,13,0.0,49.99666666666667,0.0,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax IRS,14,0.0,49.99666666666667,0.0,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax IRS,15,0.0,49.99666666666667,0.0,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax PowerTie IRS,1,44.85,44.85,0.94,1.58
N15,N,15,50,15,64,16,Feature Argmax PowerTie IRS,2,4.596666666666667,49.446666666666665,2.4766666666666666,2.83
N15,N,15,50,15,64,16,Feature Argmax PowerTie IRS,3,0.53,49.97666666666667,2.4233333333333333,2.45
N15,N,15,50,15,64,16,Feature Argmax PowerTie IRS,4,0.02,49.99666666666667,0.09666666666666666,0.10333333333333333
N15,N,15,50,15,64,16,Feature Argmax PowerTie IRS,5,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax PowerTie IRS,6,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax PowerTie IRS,7,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax PowerTie IRS,8,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax PowerTie IRS,9,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax PowerTie IRS,10,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax PowerTie IRS,11,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax PowerTie IRS,12,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax PowerTie IRS,13,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax PowerTie IRS,14,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax PowerTie IRS,15,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Greedy IRS,1,44.85,44.85,16.0,16.0
N15,N,15,50,15,64,16,Greedy IRS,2,4.596666666666667,49.446666666666665,16.0,16.0
N15,N,15,50,15,64,16,Greedy IRS,3,0.53,49.97666666666667,7.413333333333333,7.413333333333333
N15,N,15,50,15,64,16,Greedy IRS,4,0.02,49.99666666666667,0.37333333333333335,0.37333333333333335
N15,N,15,50,15,64,16,Greedy IRS,5,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Greedy IRS,6,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Greedy IRS,7,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Greedy IRS,8,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Greedy IRS,9,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Greedy IRS,10,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Greedy IRS,11,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Greedy IRS,12,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Greedy IRS,13,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Greedy IRS,14,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Greedy IRS,15,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
N15,N,15,50,15,64,16,Random IRS,1,40.94,40.94,0.0,0.0
N15,N,15,50,15,64,16,Random IRS,2,5.6466666666666665,46.586666666666666,0.0,0.0
N15,N,15,50,15,64,16,Random IRS,3,1.81,48.39666666666667,0.0,0.0
N15,N,15,50,15,64,16,Random IRS,4,0.79,49.18666666666667,0.0,0.0
N15,N,15,50,15,64,16,Random IRS,5,0.38333333333333336,49.57,0.0,0.0
N15,N,15,50,15,64,16,Random IRS,6,0.19333333333333333,49.763333333333335,0.0,0.0
N15,N,15,50,15,64,16,Random IRS,7,0.1,49.86333333333334,0.0,0.0
N15,N,15,50,15,64,16,Random IRS,8,0.08,49.943333333333335,0.0,0.0
