run_seed,episode_index,episode_seed,channel_rho,csi_delay_slots,slot_idx,remaining_before,seed_indices,selected_indices,feedbacks,preview_calls,oracle_index,seed_best_index,selected_best_index,confirmed_index,oracle_tx,seed_best_current_tx,selected_best_current_tx,confirmed_current_tx,actual_success,scheduled,failed,missed,true_opportunities,pool_gap,selection_gap,confirmation_gap,invitation_gap,total_gap,primary_gap_type,oracle_in_seed,oracle_in_selected,confirmed_is_oracle,seed_best_in_selected,selected_best_confirmed,stale_confirmed_tx,stale_confirmed_power,coverage_marginal_fraction,coverage_overlap_fraction,episode_done,total_tx_after_slot
2026,81,1494637601,0.98,1,1,7,"[1,2,3,4,5,7,8,9,10,12,13,14,15]","[10,4,8]","[{""irs"":10,""tx"":6.0,""score"":0.099676995,""power"":0.406460127},{""irs"":4,""tx"":6.0,""score"":0.111386746,""power"":0.17226509},{""irs"":8,""tx"":6.0,""score"":0.096906945,""power"":0.461861098}]",16,15,15,4,4,7,7,6,6,6,6,0,0,6,0,1,0,0,1,selection,1,0,0,0,1,6,0.3209731090352585,0.04666666666666667,0.6666666666666666,0,49
2026,81,1494637601,0.98,1,2,1,"[2,3,4,5,6,8,9,10,11,13,14,15,0]","[6,11,10]","[{""irs"":6,""tx"":1.0,""score"":-0.012204121,""power"":0.644082437},{""irs"":11,""tx"":1.0,""score"":-0.00277816,""power"":0.455563204},{""irs"":10,""tx"":1.0,""score"":-0.002536855,""power"":0.450737101}]",16,10,10,10,10,1,1,1,1,1,1,0,0,1,0,0,0,0,0,none,1,1,1,1,1,1,0.599292065135545,0.006666666666666667,0.6666666666666666,1,50
2026,82,884541516,0.98,1,0,50,"[0,1,2,3,4,6,7,8,9,11,12,13,14]","[14,0,3]","[{""irs"":14,""tx"":43.0,""score"":0.846788519,""power"":0.264229618},{""irs"":0,""tx"":45.0,""score"":0.883340495,""power"":0.33319012},{""irs"":3,""tx"":43.0,""score"":0.844737031,""power"":0.305259402}]",16,13,13,0,0,46,46,45,45,43,45,2,2,45,0,1,0,2,3,invitation,1,0,0,0,1,45,0.3064788772460378,0.3333333333333333,0.6296296296296297,0,43
2026,82,884541516,0.98,1,1,7,"[1,2,3,4,5,7,8,9,10,12,13,14,15]","[13,12,10]","[{""irs"":13,""tx"":6.0,""score"":0.097182679,""power"":0.456346439},{""irs"":12,""tx"":7.0,""score"":0.117512065,""power"":0.449758711},{""irs"":10,""tx"":6.0,""score"":0.098235459,""power"":0.435290835}]",16,12,12,12,12,7,7,7,7,6,6,0,1,7,0,0,0,1,1,invitation,1,1,1,1,1,6,0.48211319652253765,0.04666666666666667,0.6666666666666666,0,49
2026,82,884541516,0.98,1,2,1,"[2,3,4,5,6,8,9,10,11,13,14,15,0]","[14,9,11]","[{""irs"":14,""tx"":1.0,""score"":0.007257843,""power"":0.25484316},{""irs"":9,""tx"":1.0,""score"":-0.020887358,""power"":0.817747162},{""irs"":11,""tx"":1.0,""score"":0.002524101,""power"":0.349518004}]",16,14,14,14,14,1,1,1,1,1,1,0,0,1,0,0,0,0,0,none,1,1,1,1,1,1,0.2087883435512887,0.006666666666666667,0.6666666666666666,1,50
2026,83,673924020,0.98,1,0,50,"[0,1,2,3,4,6,7,8,9,11,12,13,14]","[7,0,6]","[{""irs"":7,""tx"":42.0,""score"":0.825054155,""power"":0.298916913},{""irs"":0,""tx"":41.0,""score"":0.802595324,""power"":0.348093527},{""irs"":6,""tx"":43.0,""score"":0.846205501,""power"":0.275889988}]",16,3,3,6,6,46,46,43,43,40,42,2,3,43,0,3,0,3,6,invitation,1,0,0,0,1,42,0.2736510443158214,0.3333333333333333,0.627906976744186,0,40
2026,83,673924020,0.98,1,1,10,"[1,2,3,4,5,7,8,9,10,12,13,14,15]","[1,5,3]","[{""irs"":1,""tx"":9.0,""score"":0.162363404,""power"":0.352731935},{""irs"":5,""tx"":7.0,""score"":0.125499454,""power"":0.290010926},{""irs"":3,""tx"":6.0,""score"":0.100193649,""power"":0.39612703}]",16,1,1,1,1,9,9,9,9,8,8,0,1,9,0,0,0,1,1,invitation,1,1,1,1,1,8,0.3981490270727195,0.06666666666666667,0.5714285714285714,0,48
2026,83,673924020,0.98,1,2,2,"[2,3,4,5,6,8,9,10,11,13,14,15,0]","[4,2,11]","[{""irs"":4,""tx"":1.0,""score"":-0.001598415,""power"":0.43196831},{""irs"":2,""tx"":1.0,""score"":-0.00882455,""power"":0.576491023},{""irs"":11,""tx"":1.0,""score"":-0.007798226,""power"":0.555964539}]",16,12,13,4,4,1,1,1,1,1,1,0,0,1,0,0,0,0,0,none,0,0,0,0,1,1,0.2962186004172743,0.013333333333333334,0.3333333333333333,0,49
2026,83,673924020,0.98,1,3,1,"[3,4,5,6,7,9,10,11,12,14,15,0,1]","[12,5,6]","[{""irs"":12,""tx"":1.0,""score"":0.006980601,""power"":0.260387995},{""irs"":5,""tx"":1.0,""score"":0.000365403,""power"":0.392691954},{""irs"":6,""tx"":1.0,""score"":-0.005963107,""power"":0.519262161}]",16,12,12,12,12,1,1,1,1,1,1,0,0,1,0,0,0,0,0,none,1,1,1,1,1,1,0.2681763491597295,0.006666666666666667,0.6666666666666666,1,50
2026,84,168265064,0.98,1,0,50,"[0,1,2,3,4,6,7,8,9,11,12,13,14]","[11,4,12]","[{""irs"":11,""tx"":41.0,""score"":0.805605245,""power"":0.287895106},{""irs"":4,""tx"":36.0,""score"":0.706021555,""power"":0.279568914},{""irs"":12,""tx"":42.0,""score"":0.823373692,""power"":0.332526168}]",16,10,0,12,12,43,42,42,42,40,41,1,2,42,1,0,0,2,3,invitation,0,0,0,0,1,41,0.3446359800541339,0.32666666666666666,0.6186604723190089,0,40
