decision_error_std,execution_error_std,mismatch_model,channel_rho,csi_delay_slots,probe_budget,policy,episodes,num_seeds,num_nodes,num_slots,num_irs_elements,num_codebook_states,g_th,alpha_th,gain_margin,power_margin,risk_weight,risk_power_weight,risk_invite_threshold,adaptive_risk_base_weight,opportunity_failure_cost,opportunity_missed_cost,opportunity_deadline_gain,opportunity_backlog_gain,temporal_reliability_z,sparse_topk_seed_multiplier,sparse_topk_fraction,adaptive_sparse_base_multiplier,adaptive_sparse_expanded_multiplier,adaptive_sparse_margin_threshold,adaptive_sparse_v2_preview_cost,adaptive_sparse_v2_uncertainty_weight,adaptive_sparse_v2_urgency_weight,adaptive_sparse_v2_history_weight,adaptive_sparse_history_window,adaptive_sparse_v3_neighbor_radius,adaptive_sparse_v3_neighbor_count,adaptive_sparse_v3_history_count,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,scheduled_nodes_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,failure_slot_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,effective_risk_weight_mean,adaptive_sparse_expansion_rate,adaptive_sparse_margin_mean,adaptive_sparse_effective_margin_threshold_mean,adaptive_sparse_expand_score_mean,adaptive_sparse_history_stability_mean,adaptive_sparse_urgency_mean,adaptive_sparse_cost_penalty_mean,adaptive_sparse_v3_history_prior_rate,adaptive_sparse_v3_neighbor_extra_preview_mean,adaptive_sparse_v3_selected_extra_preview_mean,avg_reward
0.0,0.0,temporal_ar1,0.7,3,4,Temporal Deviation Oracle B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,3.235,0.04899999999999982,0.3983742402382231,16.41158179897093,0.0047973745086586205,50.33,0.33,1.55,51.55,8.633333333333333,4.0,0.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.37370947641699
0.0,0.0,temporal_ar1,0.9,1,4,Estimated Rotating Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,3.805,0.10779999999999985,0.38307155878467364,16.750137136868304,0.1789497095147743,51.64,1.64,1.065,51.065,27.354761904761904,4.0,1.1347738095238096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.26753804239796
0.0,0.0,temporal_ar1,0.9,1,4,Sparse-TopK Feedback Grid B=4 sm=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,3.4,0.019600000000000017,0.3722114276391326,16.189849451358096,0.09140172681582669,50.505,0.505,1.515,51.515,12.092857142857143,12.0,0.7699285714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.37738686948538
0.0,0.0,temporal_ar1,0.9,1,4,Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,3.15,0.019600000000000017,0.35727739535838876,16.123931792570207,0.17455190789829653,50.44,0.44,1.185,51.185,11.233333333333333,16.0,0.5594999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4385339775322
0.0,0.0,temporal_ar1,0.9,1,4,Adaptive Sparse-TopK V2 Feedback Grid B=4 bm=2 em=3 mt=0.05 pc=0.002 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.05,0.002,0.02,0.5,0.02,3,0,0,0,50.0,0.0,1.0,100.0,3.215,0.029399999999999808,0.358669760066886,16.1683365504732,0.15575539928481658,50.49,0.49,1.34,51.34,12.149999999999999,15.331666666666665,0.6029166666666667,0.0,0.8329166666666667,0.02181333333333333,0.04212948412698412,0.012316150793650796,0.4937361111111111,8.412698412698412e-06,0.008000000000000002,0.0,0.0,0.0,99.43190520738023
0.0,0.0,temporal_ar1,0.9,1,4,Adaptive Sparse-TopK V3 Feedback Grid B=4 bm=2 nr=1 nc=2 hc=1 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3,1,2,1,50.0,0.0,1.0,100.0,3.32,0.019600000000000017,0.3663229535811128,16.22707844837039,0.004922387816637367,50.55,0.55,1.415,51.415,13.5,12.927750000000001,0.7326666666666667,0.0,0.0,0.021070000000000002,0.0,0.0,0.4924583333333333,0.0,0.0,0.3305833333333333,0.7290833333333333,0.9277500000000001,99.4004332182726
0.0,0.0,temporal_ar1,0.9,1,4,Stale-TopK Feedback Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,3.205,0.16659999999999991,0.35925377718106816,16.232410521596897,0.06812453833197175,50.485,0.485,1.17,51.17,11.673809523809522,20.0,0.4905952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.42640812199285
0.0,0.0,temporal_ar1,0.9,1,4,Temporal Deviation Oracle B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,2.925,0.06859999999999984,0.34973047690675174,16.15936947268403,0.08569842482831035,50.36,0.36,0.86,50.86,10.875,4.0,0.38799999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4884669899982
0.0,0.0,temporal_ar1,0.9,2,4,Estimated Rotating Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,4.105,0.00980000000000066,0.39831468971019474,17.003688822071208,0.10685180654425792,51.95,1.95,1.215,51.215,29.440476190476193,4.0,1.1580892857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.18992490355029
0.0,0.0,temporal_ar1,0.9,2,4,Sparse-TopK Feedback Grid B=4 sm=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,3.74,0.05880000000000005,0.39065131210530607,16.31278069406711,0.08420587868773317,50.555,0.555,1.95,51.95,11.670238095238094,12.0,0.8195892857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.31497458909456
