decision_error_std,execution_error_std,mismatch_model,channel_rho,csi_delay_slots,probe_budget,policy,episodes,num_seeds,num_nodes,num_slots,num_irs_elements,num_codebook_states,g_th,alpha_th,gain_margin,power_margin,risk_weight,risk_power_weight,risk_invite_threshold,adaptive_risk_base_weight,opportunity_failure_cost,opportunity_missed_cost,opportunity_deadline_gain,opportunity_backlog_gain,temporal_reliability_z,sparse_topk_seed_multiplier,sparse_topk_fraction,adaptive_sparse_base_multiplier,adaptive_sparse_expanded_multiplier,adaptive_sparse_margin_threshold,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,scheduled_nodes_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,failure_slot_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,effective_risk_weight_mean,adaptive_sparse_expansion_rate,adaptive_sparse_margin_mean,avg_reward
0.0,0.0,temporal_ar1,0.7,3,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0.02 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.02,50.0,0.0,1.0,100.0,3.915,0.009799999999999792,0.398829887131796,16.47658639268324,0.13346475147409123,50.6,0.6,2.525,52.525,12.286309523809523,13.493261904761905,0.8463035714285715,0.0,0.37331547619047617,0.02042488095238095,99.27658674981049
0.0,0.0,temporal_ar1,0.7,3,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0.05 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.05,50.0,0.0,1.0,100.0,3.66,0.1176000000000001,0.4032677918903286,16.452365902383054,0.13613406965153294,50.5,0.5,2.195,52.195,11.269047619047619,15.569,0.7146547619047618,0.0,0.89225,0.021241666666666666,99.30815429441834
0.0,0.0,temporal_ar1,0.7,3,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0.1 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.1,50.0,0.0,1.0,100.0,3.67,0.1372000000000001,0.4006681979890583,16.405072421402096,0.16033559254176102,50.5,0.5,2.22,52.22,11.369047619047619,15.922666666666666,0.7193214285714287,0.0,0.9806666666666666,0.021189999999999997,99.31276015209264
0.0,0.0,temporal_ar1,0.7,3,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0.2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.2,50.0,0.0,1.0,100.0,3.67,0.1372000000000001,0.4006681979890583,16.405072421402096,0.16033559254176102,50.5,0.5,2.22,52.22,11.369047619047619,16.0,0.7193214285714287,0.0,1.0,0.021189999999999997,99.31276015209264
0.0,0.0,temporal_ar1,0.7,3,4,Stale-TopK Feedback Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.84,0.1372000000000001,0.38517417989249986,16.411761051286145,0.03968355434530302,50.54,0.54,2.55,52.55,11.233333333333333,20.0,0.7001686507936508,0.0,0.0,0.0,99.34469671250086
0.0,0.0,temporal_ar1,0.7,3,4,Temporal Deviation Oracle B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.235,0.04899999999999982,0.3983742402382231,16.41158179897093,0.0047973745086586205,50.33,0.33,1.55,51.55,8.633333333333333,4.0,0.491,0.0,0.0,0.0,99.37370947641699
0.0,0.0,temporal_ar1,0.9,1,4,Estimated Rotating Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.805,0.10779999999999985,0.38307155878467364,16.750137136868304,0.1789497095147743,51.64,1.64,1.065,51.065,27.354761904761904,4.0,1.1347738095238096,0.0,0.0,0.0,99.26753804239796
0.0,0.0,temporal_ar1,0.9,1,4,Sparse-TopK Feedback Grid B=4 sm=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.4,0.019600000000000017,0.3722114276391326,16.189849451358096,0.09140172681582669,50.505,0.505,1.515,51.515,12.092857142857143,12.0,0.7699285714285713,0.0,0.0,0.0,99.37738686948538
0.0,0.0,temporal_ar1,0.9,1,4,Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.15,0.019600000000000017,0.35727739535838876,16.123931792570207,0.17455190789829653,50.44,0.44,1.185,51.185,11.233333333333333,16.0,0.5594999999999999,0.0,0.0,0.0,99.4385339775322
0.0,0.0,temporal_ar1,0.9,1,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.0,50.0,0.0,1.0,100.0,3.4,0.019600000000000017,0.3705218445471113,16.18653295748576,0.0883162492048658,50.515,0.515,1.515,51.515,12.288095238095238,12.0,0.7699285714285713,0.0,0.0,0.02094904761904762,99.37904511642154
0.0,0.0,temporal_ar1,0.9,1,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0.02 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.02,50.0,0.0,1.0,100.0,3.335,0.02940000000000024,0.3610431031982752,16.174632588731328,0.05133624019458686,50.48,0.48,1.405,51.405,11.613095238095237,13.528523809523808,0.6992619047619048,0.0,0.38213095238095235,0.021020714285714285,99.40595565371184
0.0,0.0,temporal_ar1,0.9,1,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0.05 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.05,50.0,0.0,1.0,100.0,3.17,0.03920000000000003,0.3589461012262232,16.159045256493833,0.11986669091708904,50.455,0.455,1.215,51.215,11.591666666666665,15.529000000000002,0.5704166666666667,0.0,0.88225,0.022035,99.43222543795041
0.0,0.0,temporal_ar1,0.9,1,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0.1 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.1,50.0,0.0,1.0,100.0,3.15,0.019600000000000017,0.35511721334979546,16.116802212020126,0.1696141535190337,50.445,0.445,1.185,51.185,11.333333333333332,15.911000000000001,0.5594999999999999,0.0,0.97775,0.022014999999999996,99.44209876780725
0.0,0.0,temporal_ar1,0.9,1,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0.2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.2,50.0,0.0,1.0,100.0,3.15,0.019600000000000017,0.35511721334979546,16.116802212020126,0.1696141535190337,50.445,0.445,1.185,51.185,11.333333333333332,16.0,0.5594999999999999,0.0,1.0,0.022014999999999996,99.44209876780725
0.0,0.0,temporal_ar1,0.9,1,4,Stale-TopK Feedback Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.205,0.16659999999999991,0.35925377718106816,16.232410521596897,0.06812453833197175,50.485,0.485,1.17,51.17,11.673809523809522,20.0,0.4905952380952381,0.0,0.0,0.0,99.42640812199285
