policy,channel_rho,csi_delay_slots,episodes,num_seeds,mask_correction_strength,mask_correction_noise_deadband_z,mask_correction_max_delta,confirmation_feedback_noise_std,success_mean,perfect_rate,slots_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,mask_correction_added_mean,mask_correction_pruned_mean,mask_correction_target_delta_mean,mask_correction_applied_rate
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.98,1,900,3,0.75,0.0,-1.0,0.0,50.0,100.0,2.9677777777777776,1.9066666666666667,1.9955555555555555,51.995555555555555,16.0,0.9722358906525573,0.387913139329806,0.199984126984127,0.18792901234567902,0.47524514991181654
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=0.75 clip=2,0.98,1,900,3,0.75,0.0,2.0,0.0,50.0,100.0,2.9677777777777776,1.91,2.0,52.0,16.0,0.9731618165784832,0.3820136684303351,0.19492857142857142,0.18708509700176368,0.47524514991181654
Mask-Corrected Coverage-Aware B=3 mc=1,0.98,1,900,3,1.0,0.0,-1.0,0.0,50.0,100.0,2.921111111111111,1.9033333333333333,1.9033333333333333,51.903333333333336,16.0,0.944966049382716,0.4711512345679012,0.22814153439153437,0.24300970017636686,0.4800758377425044
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.98,1,900,3,1.0,0.0,2.0,0.0,50.0,100.0,2.938888888888889,1.9211111111111112,1.9444444444444444,51.94444444444444,16.0,0.9575507054673722,0.4290692239858906,0.2048637566137566,0.22420546737213404,0.47881922398589066
Coverage-Aware B=3 sm=4.1,0.98,2,900,3,0.0,0.0,-1.0,0.0,49.99777777777778,99.77777777777777,3.5522222222222224,3.292222222222222,3.5677777777777777,53.565555555555555,16.0,1.4348478835978835,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.98,2,900,3,0.75,0.0,-1.0,0.0,49.99888888888889,99.8888888888889,3.2311111111111113,3.013333333333333,3.062222222222222,53.06111111111111,16.0,1.3905370370370371,0.41097707231040564,0.2669417989417989,0.1440352733686067,0.5363853615520282
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=0.75 clip=2,0.98,2,900,3,0.75,0.0,2.0,0.0,49.99888888888889,99.8888888888889,3.241111111111111,3.013333333333333,3.0766666666666667,53.07555555555555,16.0,1.3974537037037036,0.3894215167548501,0.26043253968253965,0.1289889770723104,0.53673721340388
Mask-Corrected Coverage-Aware B=3 mc=1,0.98,2,900,3,1.0,0.0,-1.0,0.0,49.99888888888889,99.8888888888889,3.2066666666666666,2.9922222222222223,2.9922222222222223,52.99111111111111,16.0,1.3738919753086418,0.4857848324514991,0.3056194885361552,0.18016534391534392,0.5374246031746032
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.98,2,900,3,1.0,0.0,2.0,0.0,49.99888888888889,99.8888888888889,3.223333333333333,2.997777777777778,3.03,53.028888888888886,16.0,1.3933020282186948,0.426200176366843,0.28182186948853616,0.14437830687830686,0.5403068783068783
Coverage-Aware B=3 sm=4.1,0.98,3,900,3,0.0,0.0,-1.0,0.0,49.99777777777778,99.77777777777777,3.7344444444444442,4.227777777777778,4.257777777777778,54.25555555555555,16.0,1.6719444444444445,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.98,3,900,3,0.75,0.0,-1.0,0.0,49.99777777777778,99.77777777777777,3.382222222222222,3.812222222222222,3.7944444444444443,53.79222222222222,16.0,1.6670970017636684,0.4148174603174603,0.3177835097001763,0.09703395061728394,0.5688271604938272
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=0.75 clip=2,0.98,3,900,3,0.75,0.0,2.0,0.0,49.99777777777778,99.77777777777777,3.3855555555555554,3.827777777777778,3.8155555555555556,53.81333333333333,16.0,1.6757821869488536,0.39594973544973544,0.30454276895943566,0.09140696649029983,0.5703906525573192
