label,coverage_sparse_weight,coverage_sparse_power_weight,scenario_key,channel_rho,csi_delay_slots,episodes,num_seeds,success_mean,perfect_rate,slots_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,coverage_sparse_selected_marginal_fraction_mean,coverage_sparse_selected_overlap_fraction_mean,slots_delta_vs_sparse,failed_delta_vs_sparse,missed_delta_vs_sparse,gap_delta_vs_sparse
Coverage-Aware cw=1 cpw=0,1.0,0.0,"rho=0.9, delay=3",0.9,3,900,3,49.99888888888889,99.8888888888889,3.938888888888889,6.9255555555555555,7.543333333333333,57.54222222222222,16.0,2.5889929453262783,0.08895061507936508,0.7154342603993685,-0.20000000000000018,0.008888888888888502,-0.8755555555555556,-0.11827601410934774
Coverage-Aware cw=2 cpw=0,2.0,0.0,"rho=0.9, delay=3",0.9,3,900,3,49.99888888888889,99.8888888888889,3.9411111111111112,6.952222222222222,7.561111111111111,57.56,16.0,2.5992680776014105,0.08906479497354498,0.7152473128621294,-0.19777777777777805,0.035555555555554896,-0.8577777777777778,-0.10800088183421552
Coverage-Aware cw=0 cpw=0,0.0,0.0,"rho=0.98, delay=1",0.98,1,900,3,49.99777777777778,99.77777777777777,3.3155555555555556,1.9822222222222223,2.9133333333333336,52.91111111111111,16.0,1.1688747795414465,0.09680579365079366,0.704932392737871,-0.040000000000000036,-0.051111111111110885,0.12222222222222223,0.004651234567901286
Coverage-Aware cw=0.25 cpw=0,0.25,0.0,"rho=0.98, delay=1",0.98,1,900,3,49.99777777777778,99.77777777777777,3.3155555555555556,1.9822222222222223,2.9133333333333336,52.91111111111111,16.0,1.1688747795414465,0.09680579365079366,0.704932392737871,-0.040000000000000036,-0.051111111111110885,0.12222222222222223,0.004651234567901286
Coverage-Aware cw=0.5 cpw=0,0.5,0.0,"rho=0.98, delay=1",0.98,1,900,3,49.99777777777778,99.77777777777777,3.316666666666667,1.9844444444444445,2.9155555555555557,52.913333333333334,16.0,1.1691525573192243,0.09680616402116404,0.7048504138493626,-0.03888888888888875,-0.04888888888888876,0.12444444444444436,0.004929012345679107
Coverage-Aware cw=1 cpw=0,1.0,0.0,"rho=0.98, delay=1",0.98,1,900,3,49.99777777777778,99.77777777777777,3.31,1.9833333333333334,2.9122222222222223,52.91,16.0,1.1692636684303352,0.09723887566137566,0.7041777555405428,-0.04555555555555557,-0.04999999999999982,0.12111111111111095,0.005040123456790058
Coverage-Aware cw=2 cpw=0,2.0,0.0,"rho=0.98, delay=1",0.98,1,900,3,49.99777777777778,99.77777777777777,3.311111111111111,1.9844444444444445,2.9066666666666667,52.904444444444444,16.0,1.1687081128747796,0.09728731481481483,0.7039986616203613,-0.04444444444444473,-0.04888888888888876,0.11555555555555541,0.004484567901234415
Coverage-Aware cw=0 cpw=0,0.0,0.0,"rho=0.98, delay=2",0.98,2,900,3,49.995555555555555,99.55555555555556,3.618888888888889,3.046666666666667,4.1322222222222225,54.12777777777778,16.0,1.4983659611992945,0.09108282627865961,0.6969167007619744,-0.06777777777777771,-0.09333333333333327,0.10111111111111093,-0.01827865961199282
Coverage-Aware cw=0.25 cpw=0,0.25,0.0,"rho=0.98, delay=2",0.98,2,900,3,49.995555555555555,99.55555555555556,3.618888888888889,3.046666666666667,4.1322222222222225,54.12777777777778,16.0,1.4983659611992945,0.09108282627865961,0.6969167007619744,-0.06777777777777771,-0.09333333333333327,0.10111111111111093,-0.01827865961199282
Coverage-Aware cw=0.5 cpw=0,0.5,0.0,"rho=0.98, delay=2",0.98,2,900,3,49.995555555555555,99.55555555555556,3.618888888888889,3.046666666666667,4.1322222222222225,54.12777777777778,16.0,1.4983659611992945,0.09110625220458553,0.6968988263815746,-0.06777777777777771,-0.09333333333333327,0.10111111111111093,-0.01827865961199282
Coverage-Aware cw=1 cpw=0,1.0,0.0,"rho=0.98, delay=2",0.98,2,900,3,49.995555555555555,99.55555555555556,3.6255555555555556,3.0766666666666667,4.135555555555555,54.13111111111111,16.0,1.503846119929453,0.09134647045855379,0.6960997135768,-0.061111111111110894,-0.06333333333333346,0.1044444444444439,-0.012798500881834318
Coverage-Aware cw=2 cpw=0,2.0,0.0,"rho=0.98, delay=2",0.98,2,900,3,49.995555555555555,99.55555555555556,3.6266666666666665,3.081111111111111,4.1466666666666665,54.14222222222222,16.0,1.5080127865961197,0.09140429453262786,0.6959914429797212,-0.06000000000000005,-0.05888888888888921,0.11555555555555497,-0.008631834215167666
Coverage-Aware cw=0 cpw=0,0.0,0.0,"rho=0.98, delay=3",0.98,3,900,3,49.99111111111111,99.11111111111111,3.8655555555555554,3.9155555555555557,4.902222222222222,54.89333333333333,16.0,1.7167694003527336,0.08781584656084657,0.7006896241819958,-0.05222222222222239,-0.08000000000000007,-0.05555555555555536,-0.039900352733686084
Coverage-Aware cw=0.25 cpw=0,0.25,0.0,"rho=0.98, delay=3",0.98,3,900,3,49.99111111111111,99.11111111111111,3.8655555555555554,3.9155555555555557,4.902222222222222,54.89333333333333,16.0,1.7167694003527336,0.08781584656084657,0.7006896241819958,-0.05222222222222239,-0.08000000000000007,-0.05555555555555536,-0.039900352733686084
Coverage-Aware cw=0.5 cpw=0,0.5,0.0,"rho=0.98, delay=3",0.98,3,900,3,49.99111111111111,99.11111111111111,3.8666666666666667,3.9144444444444444,4.906666666666666,54.897777777777776,16.0,1.7180947971781304,0.08782223985890653,0.700702275553491,-0.05111111111111111,-0.08111111111111136,-0.05111111111111111,-0.0385749559082893
Coverage-Aware cw=1 cpw=0,1.0,0.0,"rho=0.98, delay=3",0.98,3,900,3,49.992222222222225,99.22222222222223,3.8633333333333333,3.8944444444444444,4.914444444444444,54.906666666666666,16.0,1.7197614638447971,0.08809261904761904,0.7000840536520253,-0.05444444444444452,-0.10111111111111137,-0.043333333333333,-0.036908289241622594
Coverage-Aware cw=2 cpw=0,2.0,0.0,"rho=0.98, delay=3",0.98,3,900,3,49.992222222222225,99.22222222222223,3.8566666666666665,3.881111111111111,4.913333333333333,54.90555555555556,16.0,1.7199096119929453,0.08820806437389771,0.6998727273476419,-0.06111111111111134,-0.11444444444444457,-0.04444444444444429,-0.03676014109347436
