decision_error_std,execution_error_std,mismatch_model,channel_rho,csi_delay_slots,probe_budget,policy,episodes,num_seeds,num_nodes,num_slots,num_irs_elements,num_codebook_states,g_th,alpha_th,gain_margin,power_margin,risk_weight,risk_power_weight,risk_invite_threshold,adaptive_risk_base_weight,opportunity_failure_cost,opportunity_missed_cost,opportunity_deadline_gain,opportunity_backlog_gain,temporal_reliability_z,sparse_topk_seed_multiplier,sparse_topk_fraction,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,scheduled_nodes_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,failure_slot_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,effective_risk_weight_mean,avg_reward
0.0,0.0,temporal_ar1,0.7,1,8,Sparse-TopK Feedback Grid B=8 sm=1 tf=0.5,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,50.0,0.0,1.0,100.0,3.63,0.19600000000000015,0.36255044935925645,16.02649092003987,0.02315395625691437,50.27,0.27,3.005,53.005,5.934523809523809,16.0,1.0066785714285715,0.0,99.37948586296017
0.0,0.0,temporal_ar1,0.7,1,8,Sparse-TopK Feedback Grid B=8 sm=1 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,50.0,0.0,1.0,100.0,3.63,0.19600000000000015,0.36310671855365356,16.027831599381894,0.02578168776728375,50.265,0.265,3.005,53.005,5.83452380952381,16.0,1.0066785714285715,0.0,99.37881552328916
0.0,0.0,temporal_ar1,0.7,1,8,Sparse-TopK Feedback Grid B=8 sm=2 tf=0.25,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,50.0,0.0,1.0,100.0,3.44,0.13719999999999968,0.35693344055935894,16.109902386972784,0.10965033671797102,50.22,0.22,2.56,52.56,5.133333333333333,24.0,0.7360833333333333,0.0,99.42045267527605
0.0,0.0,temporal_ar1,0.7,1,8,Sparse-TopK Feedback Grid B=8 sm=2 tf=0.5,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,50.0,0.0,1.0,100.0,3.24,0.05880000000000005,0.35413971916274534,16.11061128055694,0.0030050596278029928,50.225,0.225,2.09,52.09,5.6,24.0,0.64325,0.0,99.45215934365847
0.0,0.0,temporal_ar1,0.7,1,8,Sparse-TopK Feedback Grid B=8 sm=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,50.0,0.0,1.0,100.0,3.135,0.06859999999999984,0.3635371517894356,16.15332640834707,0.08437471545086524,50.225,0.225,1.895,51.895,5.891666666666667,24.0,0.6095833333333333,0.0,99.44447847808384
0.0,0.0,temporal_ar1,0.7,1,8,Sparse-TopK Feedback Grid B=8 sm=3 tf=0.25,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.25,50.0,0.0,1.0,100.0,3.44,0.13719999999999968,0.35693344055935894,16.109902386972784,0.10965033671797102,50.22,0.22,2.56,52.56,5.133333333333333,24.0,0.7360833333333333,0.0,99.42045267527605
0.0,0.0,temporal_ar1,0.7,1,8,Sparse-TopK Feedback Grid B=8 sm=3 tf=0.5,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,50.0,0.0,1.0,100.0,3.24,0.05880000000000005,0.35413971916274534,16.11061128055694,0.0030050596278029928,50.225,0.225,2.09,52.09,5.6,24.0,0.64325,0.0,99.45215934365847
0.0,0.0,temporal_ar1,0.7,1,8,Sparse-TopK Feedback Grid B=8 sm=3 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,50.0,0.0,1.0,100.0,3.135,0.06859999999999984,0.3635371517894356,16.15332640834707,0.08437471545086524,50.225,0.225,1.895,51.895,5.891666666666667,24.0,0.6095833333333333,0.0,99.44447847808384
0.0,0.0,temporal_ar1,0.7,1,2,Stale-TopK Feedback Grid B=2,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.415,0.009799999999999792,0.3531676038769474,16.361419923593743,0.06283322346593977,50.885,0.885,1.58,51.58,17.476190476190474,18.0,0.6857619047619048,0.0,99.43007686847842
0.0,0.0,temporal_ar1,0.7,1,4,Stale-TopK Feedback Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.3,0.019600000000000017,0.3546998983410974,16.21568923683554,0.10544104701619403,50.5,0.5,1.855,51.855,10.883333333333333,20.0,0.6484166666666666,0.0,99.44509525081062
