policy,run_idx,run_seed,episode_idx,episode_seed,slot,g_th,alpha_th,irs_index,tx_this_slot,total_tx,power_avg,reward,oracle_irs_index,oracle_tx_this_slot,irs_matches_oracle,oracle_tx_gap,termination_reason
SAC,1,2026,16,380863078,6,0.002214727759361267,0.05478017330169678,8,0,44,0.0,0.0,15,5,0,5,running
SAC,1,2026,16,380863078,7,0.0016539732217788696,0.05299942493438721,6,2,46,0.7647232120271201,3.617638349533081,15,5,0,3,running
SAC,1,2026,16,380863078,8,0.033303398847579956,0.08666463494300843,9,0,46,0.0,0.0,15,0,0,0,running
SAC,1,2026,16,380863078,9,0.0012939999103546143,0.051554784178733826,5,3,49,0.5453171801875318,5.727341175079346,15,3,0,0,running
SAC,1,2026,16,380863078,10,0.011614162683486938,0.07583905458450318,8,0,49,0.0,-0.673865795135498,15,0,0,0,time_limit
SAC,1,2026,17,1843517862,1,0.0015079746246337892,0.052415227890014654,8,44,44,0.31082705139419214,87.84458923339844,9,49,0,5,running
SAC,1,2026,17,1843517862,2,0.001503399968147278,0.0524605542421341,7,4,48,0.4046830956559921,7.797658443450928,9,6,0,2,running
SAC,1,2026,17,1843517862,3,0.005886922240257264,0.06378626823425293,8,0,48,0.0,0.0,9,2,0,2,running
SAC,1,2026,17,1843517862,4,0.0572958836555481,0.09408352375030518,9,0,48,0.0,0.0,4,0,0,0,running
SAC,1,2026,17,1843517862,5,0.0494407126903534,0.08698616027832032,8,0,48,0.0,0.0,4,0,0,0,running
SAC,1,2026,17,1843517862,6,0.05134449100494385,0.10156106352806092,9,0,48,0.0,0.0,4,0,0,0,running
SAC,1,2026,17,1843517862,7,0.03684630489349366,0.09501927495002747,8,0,48,0.0,0.0,4,0,0,0,running
SAC,1,2026,17,1843517862,8,0.021642688870429996,0.08243846595287324,8,0,48,0.0,0.0,4,0,0,0,running
SAC,1,2026,17,1843517862,9,0.0022335807085037233,0.055382663011550905,7,0,48,0.0,0.0,9,2,0,2,running
SAC,1,2026,17,1843517862,10,0.0013044813871383666,0.05177830159664154,7,0,48,0.0,-2.3729963302612305,9,2,0,2,time_limit
SAC,1,2026,18,1401844688,1,0.0015061596632003785,0.052393546700477606,8,35,35,0.30003593003101275,69.84998321533203,13,42,0,7,running
SAC,1,2026,18,1401844688,2,0.0014101216793060303,0.05191081166267395,7,7,42,0.5135923325653617,13.743204116821289,4,12,0,5,running
